Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,12.0,14.0,15.0,10.0,11.0,14.0,15.0,12.0,14.0,13.0,14.0,13.0,13.0,10.0,12.0,14.0,14.0,15.0,14.0,14.0,12.0,14.0,12.0,12.0,13.0,14.0,14.0,12.0,13.0,11.0,15.0,11.0,12.0,14.0,12.0,12.0,13.0,13.0,13.0,14.0,12.975,1.313
1,12.0,12.0,15.0,10.0,11.0,10.0,13.0,11.0,13.0,13.0,14.0,12.0,12.0,10.0,12.0,14.0,14.0,13.0,14.0,12.0,12.0,13.0,12.0,11.0,13.0,14.0,14.0,12.0,13.0,11.0,14.0,11.0,12.0,14.0,12.0,12.0,13.0,13.0,13.0,14.0,12.5,1.245
2,12.0,12.0,11.0,10.0,11.0,10.0,12.0,9.0,12.0,13.0,13.0,12.0,12.0,10.0,12.0,14.0,14.0,13.0,13.0,11.0,12.0,13.0,12.0,8.0,12.0,13.0,14.0,12.0,13.0,11.0,13.0,11.0,12.0,13.0,12.0,12.0,13.0,10.0,13.0,14.0,11.975,1.351
3,12.0,12.0,11.0,10.0,11.0,10.0,12.0,9.0,8.0,13.0,13.0,12.0,12.0,10.0,12.0,14.0,14.0,12.0,13.0,10.0,11.0,13.0,12.0,8.0,9.0,13.0,14.0,12.0,13.0,11.0,13.0,11.0,12.0,13.0,12.0,12.0,12.0,10.0,13.0,13.0,11.675,1.523
4,12.0,12.0,11.0,10.0,10.0,10.0,12.0,9.0,8.0,13.0,13.0,11.0,12.0,10.0,12.0,12.0,12.0,12.0,12.0,10.0,11.0,13.0,12.0,8.0,9.0,11.0,14.0,12.0,13.0,11.0,13.0,9.0,10.0,13.0,12.0,12.0,12.0,9.0,12.0,13.0,11.3,1.487
5,12.0,10.0,11.0,10.0,10.0,10.0,12.0,8.0,8.0,13.0,13.0,11.0,12.0,10.0,12.0,12.0,11.0,12.0,12.0,10.0,11.0,13.0,12.0,8.0,9.0,11.0,10.0,12.0,13.0,11.0,13.0,9.0,10.0,12.0,12.0,12.0,12.0,9.0,12.0,13.0,11.075,1.456
6,12.0,10.0,11.0,10.0,10.0,9.0,12.0,8.0,8.0,13.0,13.0,11.0,12.0,10.0,12.0,12.0,11.0,8.0,12.0,10.0,11.0,13.0,12.0,8.0,9.0,11.0,10.0,12.0,12.0,9.0,11.0,9.0,10.0,12.0,12.0,12.0,12.0,9.0,12.0,10.0,10.75,1.479
7,11.0,10.0,9.0,10.0,10.0,9.0,12.0,8.0,8.0,12.0,11.0,11.0,12.0,10.0,12.0,12.0,11.0,6.0,12.0,10.0,11.0,12.0,11.0,8.0,9.0,9.0,10.0,12.0,12.0,9.0,11.0,8.0,10.0,12.0,12.0,12.0,12.0,8.0,12.0,10.0,10.4,1.562
8,11.0,10.0,9.0,10.0,10.0,9.0,12.0,8.0,8.0,9.0,11.0,11.0,12.0,9.0,12.0,11.0,11.0,6.0,12.0,10.0,11.0,10.0,9.0,8.0,9.0,9.0,10.0,11.0,11.0,9.0,11.0,8.0,10.0,12.0,12.0,11.0,12.0,8.0,12.0,9.0,10.075,1.473
9,11.0,10.0,9.0,10.0,9.0,7.0,12.0,8.0,8.0,8.0,11.0,11.0,12.0,9.0,12.0,11.0,11.0,6.0,12.0,10.0,11.0,10.0,9.0,8.0,9.0,9.0,10.0,11.0,11.0,9.0,11.0,8.0,9.0,12.0,11.0,11.0,12.0,8.0,12.0,8.0,9.9,1.578
10,11.0,9.0,9.0,10.0,9.0,7.0,12.0,8.0,8.0,8.0,11.0,11.0,11.0,9.0,11.0,11.0,11.0,6.0,12.0,9.0,11.0,10.0,9.0,7.0,9.0,9.0,9.0,11.0,11.0,9.0,11.0,8.0,9.0,12.0,11.0,9.0,12.0,8.0,11.0,8.0,9.675,1.539
11,11.0,8.0,9.0,10.0,8.0,7.0,11.0,8.0,8.0,8.0,11.0,11.0,11.0,9.0,11.0,11.0,11.0,6.0,10.0,9.0,11.0,10.0,9.0,7.0,9.0,9.0,9.0,11.0,11.0,9.0,11.0,8.0,9.0,12.0,10.0,9.0,12.0,8.0,11.0,8.0,9.525,1.483
12,11.0,8.0,9.0,10.0,8.0,7.0,11.0,7.0,8.0,8.0,11.0,9.0,11.0,9.0,10.0,11.0,11.0,6.0,10.0,9.0,11.0,10.0,9.0,7.0,9.0,9.0,9.0,11.0,11.0,9.0,10.0,7.0,7.0,12.0,10.0,9.0,12.0,7.0,11.0,8.0,9.3,1.568
13,11.0,6.0,9.0,10.0,8.0,7.0,11.0,7.0,8.0,8.0,9.0,9.0,11.0,5.0,10.0,11.0,11.0,6.0,10.0,9.0,11.0,10.0,9.0,7.0,9.0,9.0,9.0,11.0,11.0,9.0,10.0,7.0,7.0,12.0,10.0,9.0,12.0,6.0,11.0,8.0,9.075,1.78
14,11.0,6.0,8.0,10.0,8.0,7.0,8.0,7.0,8.0,8.0,9.0,9.0,11.0,5.0,9.0,11.0,11.0,5.0,10.0,9.0,11.0,10.0,9.0,6.0,9.0,9.0,9.0,10.0,11.0,9.0,10.0,7.0,7.0,10.0,10.0,9.0,12.0,6.0,11.0,8.0,8.825,1.759
15,11.0,6.0,7.0,10.0,8.0,7.0,8.0,7.0,8.0,8.0,9.0,9.0,11.0,5.0,9.0,10.0,11.0,5.0,10.0,9.0,11.0,10.0,8.0,6.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,7.0,7.0,10.0,8.0,9.0,12.0,5.0,11.0,8.0,8.65,1.783
16,11.0,6.0,7.0,8.0,6.0,6.0,8.0,7.0,8.0,8.0,9.0,9.0,11.0,5.0,9.0,10.0,9.0,5.0,9.0,9.0,11.0,10.0,8.0,6.0,9.0,8.0,9.0,9.0,11.0,9.0,10.0,7.0,7.0,10.0,7.0,9.0,12.0,5.0,11.0,8.0,8.4,1.8
17,11.0,6.0,7.0,8.0,6.0,6.0,8.0,7.0,8.0,8.0,9.0,9.0,11.0,4.0,9.0,10.0,9.0,5.0,9.0,9.0,11.0,10.0,7.0,6.0,9.0,8.0,9.0,9.0,11.0,9.0,10.0,6.0,7.0,10.0,7.0,9.0,12.0,5.0,10.0,8.0,8.3,1.86
18,11.0,6.0,7.0,8.0,6.0,6.0,8.0,6.0,8.0,8.0,9.0,9.0,11.0,4.0,9.0,9.0,9.0,5.0,9.0,9.0,11.0,10.0,7.0,6.0,8.0,8.0,9.0,8.0,11.0,9.0,10.0,6.0,7.0,10.0,7.0,9.0,11.0,4.0,10.0,8.0,8.15,1.865
19,11.0,6.0,7.0,8.0,6.0,6.0,8.0,6.0,8.0,8.0,9.0,9.0,10.0,4.0,9.0,9.0,9.0,5.0,9.0,9.0,11.0,10.0,7.0,6.0,8.0,8.0,9.0,8.0,11.0,9.0,10.0,6.0,7.0,10.0,7.0,9.0,11.0,4.0,8.0,8.0,8.075,1.808
20,11.0,6.0,7.0,8.0,6.0,6.0,8.0,6.0,8.0,8.0,9.0,9.0,10.0,4.0,8.0,9.0,9.0,5.0,9.0,8.0,11.0,9.0,7.0,6.0,8.0,8.0,9.0,8.0,11.0,9.0,9.0,5.0,7.0,10.0,7.0,9.0,11.0,4.0,8.0,8.0,7.95,1.788
21,11.0,6.0,7.0,7.0,6.0,6.0,8.0,6.0,8.0,7.0,8.0,9.0,10.0,3.0,8.0,9.0,9.0,5.0,9.0,8.0,11.0,9.0,6.0,6.0,8.0,8.0,9.0,8.0,10.0,8.0,9.0,5.0,7.0,10.0,7.0,9.0,11.0,4.0,8.0,8.0,7.775,1.823
22,11.0,6.0,7.0,7.0,6.0,6.0,8.0,5.0,8.0,7.0,8.0,9.0,10.0,2.0,8.0,9.0,7.0,5.0,9.0,8.0,11.0,9.0,6.0,6.0,6.0,8.0,9.0,7.0,10.0,8.0,8.0,5.0,6.0,10.0,6.0,9.0,11.0,3.0,8.0,8.0,7.5,2.0
23,11.0,6.0,6.0,7.0,6.0,6.0,8.0,5.0,8.0,7.0,8.0,9.0,10.0,1.0,8.0,9.0,7.0,5.0,8.0,8.0,11.0,9.0,6.0,5.0,6.0,8.0,9.0,7.0,10.0,7.0,8.0,5.0,6.0,9.0,6.0,9.0,11.0,3.0,8.0,8.0,7.35,2.068
24,11.0,6.0,6.0,7.0,6.0,6.0,8.0,5.0,8.0,7.0,8.0,9.0,9.0,1.0,6.0,8.0,7.0,5.0,8.0,7.0,11.0,9.0,6.0,5.0,6.0,8.0,9.0,7.0,10.0,7.0,7.0,5.0,6.0,9.0,6.0,9.0,11.0,2.0,8.0,8.0,7.175,2.084
25,11.0,5.0,6.0,7.0,6.0,6.0,8.0,5.0,8.0,7.0,7.0,9.0,9.0,1.0,6.0,7.0,7.0,3.0,8.0,7.0,11.0,9.0,6.0,5.0,6.0,8.0,9.0,7.0,9.0,7.0,7.0,5.0,6.0,9.0,6.0,9.0,11.0,2.0,8.0,6.0,6.975,2.139
26,10.0,5.0,6.0,7.0,6.0,5.0,8.0,4.0,8.0,6.0,3.0,9.0,9.0,1.0,4.0,7.0,7.0,3.0,7.0,7.0,10.0,9.0,5.0,5.0,6.0,8.0,9.0,7.0,9.0,7.0,7.0,5.0,6.0,9.0,6.0,9.0,11.0,2.0,8.0,6.0,6.65,2.231
27,10.0,5.0,6.0,7.0,6.0,4.0,8.0,4.0,8.0,6.0,3.0,9.0,9.0,1.0,4.0,7.0,7.0,3.0,7.0,7.0,8.0,9.0,5.0,5.0,6.0,5.0,7.0,7.0,9.0,5.0,7.0,5.0,5.0,9.0,6.0,9.0,11.0,2.0,7.0,6.0,6.35,2.174
28,9.0,4.0,6.0,7.0,6.0,4.0,8.0,4.0,8.0,6.0,3.0,8.0,9.0,1.0,4.0,6.0,6.0,3.0,7.0,7.0,8.0,9.0,5.0,5.0,6.0,5.0,6.0,7.0,9.0,5.0,6.0,5.0,5.0,9.0,5.0,9.0,11.0,2.0,7.0,6.0,6.15,2.128
29,9.0,4.0,5.0,6.0,5.0,4.0,8.0,4.0,8.0,6.0,3.0,8.0,7.0,1.0,4.0,6.0,6.0,3.0,7.0,7.0,8.0,9.0,5.0,4.0,5.0,5.0,6.0,7.0,7.0,4.0,6.0,5.0,5.0,9.0,5.0,9.0,11.0,2.0,7.0,6.0,5.9,2.083
30,9.0,4.0,5.0,6.0,5.0,4.0,8.0,4.0,8.0,6.0,3.0,8.0,7.0,1.0,4.0,6.0,6.0,3.0,7.0,7.0,8.0,9.0,5.0,4.0,5.0,5.0,6.0,7.0,7.0,4.0,6.0,5.0,5.0,8.0,5.0,9.0,8.0,2.0,7.0,6.0,5.8,1.913
31,9.0,4.0,5.0,5.0,5.0,4.0,8.0,4.0,8.0,5.0,2.0,8.0,7.0,1.0,4.0,6.0,6.0,3.0,7.0,7.0,8.0,8.0,4.0,4.0,5.0,5.0,5.0,7.0,7.0,4.0,6.0,5.0,5.0,8.0,5.0,8.0,8.0,2.0,7.0,6.0,5.625,1.906
32,9.0,4.0,5.0,5.0,5.0,4.0,7.0,4.0,5.0,5.0,2.0,8.0,7.0,1.0,4.0,6.0,6.0,3.0,7.0,6.0,8.0,8.0,4.0,4.0,5.0,5.0,5.0,7.0,7.0,4.0,5.0,4.0,5.0,8.0,5.0,8.0,8.0,2.0,7.0,6.0,5.45,1.843
33,9.0,4.0,5.0,5.0,5.0,4.0,7.0,4.0,5.0,5.0,2.0,8.0,7.0,1.0,4.0,5.0,6.0,3.0,7.0,6.0,8.0,8.0,3.0,4.0,5.0,5.0,5.0,6.0,7.0,4.0,5.0,4.0,5.0,8.0,5.0,8.0,8.0,2.0,7.0,6.0,5.375,1.853
34,9.0,4.0,4.0,5.0,5.0,4.0,7.0,4.0,5.0,5.0,2.0,8.0,6.0,1.0,4.0,5.0,6.0,3.0,7.0,5.0,8.0,8.0,3.0,4.0,5.0,4.0,5.0,6.0,7.0,4.0,5.0,4.0,4.0,7.0,5.0,8.0,8.0,2.0,6.0,5.0,5.175,1.815
35,8.0,4.0,3.0,5.0,5.0,4.0,7.0,4.0,5.0,5.0,2.0,8.0,6.0,1.0,4.0,5.0,5.0,3.0,7.0,5.0,8.0,8.0,3.0,4.0,5.0,4.0,4.0,6.0,7.0,4.0,5.0,4.0,4.0,7.0,4.0,8.0,8.0,2.0,6.0,5.0,5.05,1.802
36,7.0,4.0,3.0,4.0,5.0,4.0,7.0,4.0,5.0,5.0,2.0,8.0,6.0,1.0,4.0,5.0,5.0,3.0,7.0,5.0,8.0,8.0,3.0,3.0,5.0,4.0,4.0,6.0,7.0,4.0,5.0,4.0,4.0,7.0,4.0,8.0,8.0,2.0,6.0,5.0,4.975,1.796
37,7.0,4.0,3.0,4.0,5.0,4.0,6.0,3.0,5.0,5.0,2.0,8.0,6.0,1.0,4.0,4.0,5.0,3.0,7.0,5.0,8.0,8.0,3.0,3.0,5.0,4.0,4.0,6.0,7.0,4.0,4.0,4.0,4.0,7.0,4.0,8.0,7.0,2.0,6.0,5.0,4.85,1.768
38,7.0,4.0,2.0,4.0,5.0,4.0,6.0,3.0,5.0,5.0,2.0,7.0,5.0,1.0,4.0,4.0,5.0,3.0,7.0,5.0,8.0,7.0,3.0,3.0,5.0,4.0,4.0,5.0,6.0,4.0,4.0,4.0,4.0,7.0,4.0,8.0,7.0,2.0,6.0,5.0,4.7,1.676
39,7.0,4.0,2.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,2.0,7.0,5.0,1.0,4.0,4.0,5.0,3.0,7.0,5.0,8.0,7.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,4.0,4.0,4.0,4.0,7.0,4.0,7.0,7.0,2.0,5.0,5.0,4.6,1.609
40,6.0,4.0,2.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,2.0,7.0,5.0,1.0,4.0,4.0,4.0,3.0,6.0,5.0,8.0,7.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,4.0,4.0,4.0,4.0,7.0,4.0,7.0,7.0,2.0,5.0,5.0,4.5,1.565
41,5.0,4.0,2.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,2.0,7.0,5.0,1.0,4.0,4.0,4.0,3.0,6.0,5.0,8.0,6.0,2.0,3.0,4.0,4.0,4.0,5.0,6.0,4.0,4.0,3.0,4.0,7.0,4.0,7.0,7.0,2.0,5.0,4.0,4.375,1.56
42,5.0,4.0,2.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,2.0,5.0,4.0,1.0,4.0,4.0,4.0,3.0,6.0,5.0,8.0,6.0,2.0,3.0,4.0,3.0,4.0,5.0,6.0,4.0,4.0,3.0,4.0,7.0,4.0,7.0,7.0,2.0,5.0,4.0,4.275,1.516
43,5.0,4.0,2.0,2.0,5.0,4.0,3.0,3.0,4.0,5.0,2.0,5.0,4.0,1.0,4.0,4.0,4.0,3.0,6.0,5.0,8.0,6.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,6.0,4.0,7.0,7.0,2.0,5.0,4.0,4.1,1.48
44,5.0,4.0,2.0,2.0,5.0,4.0,3.0,3.0,4.0,5.0,2.0,5.0,4.0,1.0,4.0,3.0,4.0,3.0,6.0,5.0,8.0,6.0,2.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,6.0,4.0,5.0,7.0,2.0,5.0,4.0,3.975,1.458
45,4.0,4.0,2.0,2.0,5.0,3.0,3.0,3.0,4.0,5.0,2.0,5.0,3.0,1.0,4.0,3.0,4.0,3.0,6.0,5.0,8.0,6.0,2.0,2.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,6.0,4.0,5.0,7.0,2.0,5.0,4.0,3.875,1.486
