Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,13.0,13.0,14.0,13.0,12.0,12.0,13.0,14.0,13.0,11.0,14.0,12.0,14.0,12.0,12.0,14.0,13.0,12.0,13.0,11.0,15.0,15.0,14.0,12.0,12.0,10.0,10.0,11.0,14.0,12.0,12.0,15.0,11.0,9.0,14.0,11.0,13.0,14.0,14.0,13.0,12.65,1.424
1,12.0,13.0,14.0,12.0,12.0,12.0,12.0,9.0,12.0,11.0,12.0,12.0,11.0,12.0,12.0,11.0,13.0,12.0,13.0,11.0,14.0,13.0,11.0,12.0,10.0,10.0,10.0,11.0,14.0,12.0,12.0,13.0,11.0,9.0,13.0,11.0,13.0,14.0,13.0,12.0,11.9,1.241
2,12.0,13.0,10.0,12.0,12.0,11.0,12.0,9.0,12.0,11.0,10.0,11.0,11.0,12.0,12.0,9.0,11.0,12.0,13.0,11.0,13.0,12.0,9.0,12.0,10.0,10.0,10.0,11.0,12.0,8.0,10.0,11.0,11.0,9.0,10.0,11.0,10.0,12.0,12.0,12.0,11.025,1.214
3,11.0,13.0,10.0,12.0,12.0,11.0,12.0,9.0,11.0,11.0,10.0,11.0,9.0,10.0,12.0,9.0,11.0,12.0,12.0,11.0,13.0,11.0,9.0,12.0,10.0,10.0,10.0,11.0,11.0,8.0,10.0,11.0,11.0,9.0,10.0,10.0,10.0,12.0,12.0,12.0,10.775,1.172
4,11.0,13.0,10.0,11.0,12.0,10.0,12.0,9.0,11.0,11.0,10.0,11.0,9.0,10.0,10.0,9.0,11.0,12.0,12.0,11.0,10.0,11.0,8.0,12.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,11.0,11.0,8.0,10.0,10.0,10.0,12.0,12.0,10.0,10.425,1.181
5,11.0,13.0,10.0,11.0,12.0,9.0,11.0,9.0,10.0,11.0,8.0,11.0,9.0,10.0,10.0,9.0,11.0,11.0,12.0,11.0,10.0,10.0,8.0,11.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,11.0,11.0,8.0,10.0,10.0,10.0,12.0,11.0,10.0,10.2,1.145
6,11.0,13.0,10.0,11.0,12.0,9.0,11.0,9.0,10.0,11.0,8.0,11.0,9.0,9.0,10.0,9.0,11.0,11.0,11.0,11.0,10.0,10.0,8.0,11.0,10.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,11.0,8.0,10.0,10.0,10.0,12.0,11.0,10.0,10.125,1.144
7,11.0,12.0,10.0,11.0,12.0,9.0,11.0,9.0,10.0,11.0,8.0,11.0,9.0,9.0,10.0,9.0,11.0,11.0,11.0,11.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,11.0,8.0,10.0,10.0,10.0,12.0,10.0,10.0,10.025,1.084
8,10.0,12.0,10.0,11.0,11.0,9.0,10.0,9.0,10.0,11.0,8.0,11.0,9.0,9.0,10.0,9.0,11.0,11.0,11.0,9.0,10.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,11.0,8.0,9.0,10.0,10.0,12.0,10.0,10.0,9.825,1.07
9,10.0,12.0,10.0,11.0,10.0,9.0,10.0,9.0,10.0,11.0,8.0,11.0,9.0,9.0,10.0,9.0,11.0,11.0,11.0,9.0,10.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,11.0,8.0,9.0,10.0,10.0,12.0,10.0,10.0,9.8,1.054
10,10.0,12.0,10.0,11.0,10.0,9.0,10.0,9.0,10.0,11.0,8.0,11.0,9.0,9.0,10.0,9.0,10.0,11.0,11.0,9.0,10.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,11.0,8.0,9.0,10.0,10.0,12.0,10.0,10.0,9.775,1.037
11,10.0,12.0,10.0,11.0,10.0,9.0,10.0,9.0,10.0,11.0,8.0,11.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,9.0,10.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,11.0,8.0,9.0,10.0,10.0,12.0,10.0,10.0,9.75,1.043
12,10.0,12.0,10.0,11.0,8.0,9.0,10.0,9.0,10.0,11.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,9.0,10.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,11.0,8.0,9.0,10.0,10.0,12.0,10.0,10.0,9.675,1.081
13,10.0,10.0,10.0,11.0,8.0,9.0,10.0,9.0,10.0,10.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,11.0,7.0,9.0,10.0,10.0,11.0,10.0,10.0,9.5,0.949
14,9.0,10.0,10.0,11.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,10.0,7.0,9.0,10.0,10.0,11.0,10.0,10.0,9.35,0.882
15,9.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,9.0,7.0,9.0,10.0,10.0,11.0,10.0,10.0,9.275,0.836
16,9.0,10.0,8.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,9.0,7.0,9.0,10.0,10.0,11.0,10.0,10.0,9.175,0.919
17,9.0,10.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,9.0,7.0,9.0,9.0,10.0,11.0,10.0,10.0,9.1,0.889
18,9.0,10.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,9.0,7.0,9.0,9.0,10.0,11.0,10.0,10.0,9.1,0.889
19,9.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,9.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,0.866
20,9.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,9.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,8.95,0.921
21,9.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,9.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,8.95,0.921
22,9.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,9.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,8.95,0.921
23,9.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,9.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,8.925,0.959
24,9.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,9.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,8.925,0.959
25,9.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,9.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,8.925,0.959
26,9.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,10.0,11.0,9.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,8.9,0.97
27,9.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,10.0,11.0,9.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,8.9,0.97
28,9.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,10.0,11.0,9.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,8.9,0.97
29,9.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,10.0,11.0,9.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,8.9,0.97
30,9.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,10.0,10.0,9.0,7.0,9.0,9.0,10.0,9.0,10.0,10.0,8.85,0.91
31,9.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,10.0,10.0,9.0,7.0,9.0,9.0,10.0,9.0,10.0,10.0,8.85,0.91
